date,eid,cid,rate
2022-04-06 02:00:00,5,ADA,1.15664
2022-04-06 02:00:00,1,DOT,21.64
2022-04-06 02:00:00,2,DOT,21.63
2022-04-06 02:00:00,3,DOT,21.6423
2022-04-06 02:00:00,4,DOT,21.6462
2022-04-06 02:00:00,5,DOT,21.627
2022-04-06 03:00:00,1,BTC,45466.96
2022-04-06 03:00:00,2,BTC,45472.26
2022-04-06 03:00:00,3,BTC,45471.97
2022-04-06 03:00:00,4,BTC,45479.2
2022-04-06 03:00:00,5,BTC,45480
2022-04-06 03:00:00,1,ETH,3367.69
2022-04-06 03:00:00,2,ETH,3368.96
2022-04-06 03:00:00,3,ETH,3367.03
2022-04-06 03:00:00,4,ETH,3369.59
2022-04-06 03:00:00,5,ETH,3367.8
2022-04-06 03:00:00,1,LTC,121
2022-04-06 03:00:00,2,LTC,120.98
2022-04-06 03:00:00,3,LTC,120.95
2022-04-06 03:00:00,4,LTC,120.92
2022-04-06 03:00:00,5,LTC,120.95
2022-04-06 03:00:00,1,LUNA,117.46
2022-04-06 03:00:00,2,LUNA,117.4
2022-04-06 03:00:00,3,LUNA,117.4738
2022-04-06 03:00:00,4,LUNA,117.39
2022-04-06 03:00:00,5,LUNA,117.51
2022-04-06 03:00:00,1,ADA,1.154
2022-04-06 03:00:00,2,ADA,1.1536
2022-04-06 03:00:00,3,ADA,1.153146
2022-04-06 03:00:00,4,ADA,1.153907
2022-04-06 03:00:00,5,ADA,1.15334
2022-04-06 03:00:00,1,DOT,21.71
2022-04-06 03:00:00,2,DOT,21.71
2022-04-06 03:00:00,3,DOT,21.7046
2022-04-06 03:00:00,4,DOT,21.7042
2022-04-06 03:00:00,5,DOT,21.709
2022-04-06 04:00:00,1,BTC,45269.7
2022-04-06 04:00:00,2,BTC,45288.47
2022-04-06 04:00:00,3,BTC,45269.55
2022-04-06 04:00:00,4,BTC,45285
2022-04-06 04:00:00,5,BTC,45270
2022-04-06 04:00:00,1,ETH,3344.99
2022-04-06 04:00:00,2,ETH,3344.85
2022-04-06 04:00:00,3,ETH,3344.63
2022-04-06 04:00:00,4,ETH,3346.11
2022-04-06 04:00:00,5,ETH,3344.4
2022-04-06 04:00:00,1,LTC,120.3
2022-04-06 04:00:00,2,LTC,120.32
2022-04-06 04:00:00,3,LTC,120.26
